resena_key,pedido_id,fecha_key,fecha,dia,nombre_dia,es_fin_de_semana,semana_anio,mes,nombre_mes,trimestre,anio,anio_mes,cliente_key,cliente_id,alias_cliente,ciudad_cliente,pais_cliente,segmento_cliente,restaurante_key,restaurante_id,nombre_restaurante,cocina_restaurante,ciudad_restaurante,pais_restaurante,nivel_rating_restaurante,calificacion,tiene_comentario,comentario
8689,24014,20260118,2026-01-18,18,Sunday,1,4,1,January,1,2026,2026-01,1246,1247,Cliente_001247,Delhi,India,Recurrente,13,14,Delhi Cedar Kitchen & Bar,Mediterranean,Delhi,India,Medio,5.0,0,
8690,24017,20250907,2025-09-07,7,Sunday,1,37,9,September,3,2025,2025-09,2198,2199,Cliente_002199,Osaka,Japan,VIP,16,17,Osaka Saigon Bistro,Vietnamese,Osaka,Japan,Medio,3.3,1,"Average experience, nothing special."
8691,24018,20250714,2025-07-14,14,Monday,0,29,7,July,3,2025,2025-07,5718,5719,Cliente_005719,Chennai,India,VIP,17,18,Chennai Copacabana Diner,Brazilian,Chennai,India,Alto,2.7,0,
8692,24022,20260821,2026-08-21,21,Friday,0,34,8,August,3,2026,2026-08,4764,4765,Cliente_004765,Yokohama,Japan,VIP,21,22,Yokohama Chile House,Mexican,Yokohama,Japan,Medio,4.6,1,"Loved it, definitely recommend."
8693,24025,20260213,2026-02-13,13,Friday,0,7,2,February,1,2026,2026-02,2451,2452,Cliente_002452,Tokyo,Japan,Recurrente,24,25,Salvador Rive Gauche Table,French,Salvador,Brazil,Alto,2.3,0,
8694,24027,20251119,2025-11-19,19,Wednesday,0,47,11,November,4,2025,2025-11,3412,3413,Cliente_003413,Hyderabad,India,VIP,26,27,Hyderabad Basil Grill,Thai,Hyderabad,India,Alto,3.2,0,
8695,24028,20260104,2026-01-04,4,Sunday,1,2,1,January,1,2026,2026-01,2650,2651,Cliente_002651,Houston,United States,VIP,27,28,Houston Roma Garden,Italian,Houston,United States,Alto,1.9,0,
8696,24033,20260122,2026-01-22,22,Thursday,0,4,1,January,1,2026,2026-01,4077,4078,Cliente_004078,Tokyo,Japan,EnRiesgo,32,33,Chennai Tropicana Place,Brazilian,Chennai,India,Bajo,2.4,0,
8697,24034,20260721,2026-07-21,21,Tuesday,0,30,7,July,3,2026,2026-07,1530,1531,Cliente_001531,Mumbai,India,VIP,33,34,Mumbai Flamenco House,Spanish,Mumbai,India,Bajo,3.3,0,
8698,24039,20260720,2026-07-20,20,Monday,0,30,7,July,3,2026,2026-07,3781,3782,Cliente_003782,Salvador,Brazil,VIP,38,39,Salvador Classic Grill,American,Salvador,Brazil,Medio,4.1,0,
8699,24043,20260713,2026-07-13,13,Monday,0,29,7,July,3,2026,2026-07,1786,1787,Cliente_001787,New York,United States,Recurrente,42,43,Hyderabad Bella Eatery,Italian,Hyderabad,India,Medio,2.3,1,Delivery was very delayed.
8700,24046,20250610,2025-06-10,10,Tuesday,0,24,6,June,2,2025,2025-06,5580,5581,Cliente_005581,Tokyo,Japan,VIP,45,46,Tokyo Dynasty House,Chinese,Tokyo,Japan,Alto,3.6,1,"Average experience, nothing special."
8701,24047,20260803,2026-08-03,3,Monday,0,32,8,August,3,2026,2026-08,2820,2821,Cliente_002821,Delhi,India,Recurrente,46,47,Delhi Lantern Cafe,Vietnamese,Delhi,India,Alto,2.6,1,"Food was okay, delivery took a while."
8702,24049,20260408,2026-04-08,8,Wednesday,0,15,4,April,2,2026,2026-04,5261,5262,Cliente_005262,Chennai,India,VIP,48,49,Chennai Tapas Table,Spanish,Chennai,India,Bajo,2.4,1,Order arrived late and cold.
8703,24050,20260720,2026-07-20,20,Monday,0,30,7,July,3,2026,2026-07,4121,4122,Cliente_004122,Osaka,Japan,Recurrente,49,50,Osaka Saffron Kitchen & Bar,Indian,Osaka,Japan,Bajo,2.8,0,
8704,24055,20250713,2025-07-13,13,Sunday,1,29,7,July,3,2025,2025-07,1252,1253,Cliente_001253,Tokyo,Japan,VIP,54,55,Tokyo Amelie Eatery,French,Tokyo,Japan,Alto,3.2,1,"Food was okay, delivery took a while."
8705,24057,20260704,2026-07-04,4,Saturday,1,27,7,July,3,2026,2026-07,966,967,Cliente_000967,Fortaleza,Brazil,VIP,56,57,Fortaleza Orchid Place,Thai,Fortaleza,Brazil,Medio,4.2,0,
8706,24060,20260316,2026-03-16,16,Monday,0,12,3,March,1,2026,2026-03,2979,2980,Cliente_002980,Salvador,Brazil,Recurrente,59,60,Salvador Damascus Kitchen,Middle Eastern,Salvador,Brazil,Bajo,2.7,0,
8707,24062,20251219,2025-12-19,19,Friday,0,51,12,December,4,2025,2025-12,2897,2898,Cliente_002898,Sao Paulo,Brazil,VIP,61,62,Sao Paulo Perfume River Kitchen & Bar,Vietnamese,Sao Paulo,Brazil,Medio,2.7,0,
8708,24063,20250704,2025-07-04,4,Friday,0,27,7,July,3,2025,2025-07,5484,5485,Cliente_005485,London,United Kingdom,VIP,62,63,Salvador Verde Grill,Brazilian,Salvador,Brazil,Medio,2.3,0,
8709,24064,20250207,2025-02-07,7,Friday,0,6,2,February,1,2025,2025-02,1235,1236,Cliente_001236,Tokyo,Japan,VIP,63,64,Tokyo Sevilla Garden,Spanish,Tokyo,Japan,Alto,3.5,1,"It was fine, some items were cold."
8710,24067,20260829,2026-08-29,29,Saturday,1,35,8,August,3,2026,2026-08,4526,4527,Cliente_004527,Tokyo,Japan,Recurrente,66,67,Tokyo Sol Eatery,Mexican,Tokyo,Japan,Medio,2.2,0,
8711,24069,20260226,2026-02-26,26,Thursday,0,9,2,February,1,2026,2026-02,4017,4018,Cliente_004018,London,United Kingdom,VIP,68,69,London Roadside Place,American,London,United Kingdom,Medio,4.8,1,Consistently good quality.
8712,24071,20250613,2025-06-13,13,Friday,0,24,6,June,2,2025,2025-06,2811,2812,Cliente_002812,Salvador,Brazil,Recurrente,70,71,Salvador Wasabi Cafe,Japanese,Salvador,Brazil,Bajo,3.1,0,
8713,24072,20260806,2026-08-06,6,Thursday,0,32,8,August,3,2026,2026-08,1648,1649,Cliente_001649,Tokyo,Japan,VIP,71,72,Tokyo Lemongrass Kitchen,Thai,Tokyo,Japan,Medio,5.0,0,
8714,24073,20241205,2024-12-05,5,Thursday,0,49,12,December,4,2024,2024-12,2215,2216,Cliente_002216,Bangalore,India,VIP,72,73,Chennai Vineyard Table,Italian,Chennai,India,Medio,4.8,1,"Really enjoyed this, everything arrived hot."
8715,24078,20251001,2025-10-01,1,Wednesday,0,40,10,October,4,2025,2025-10,3507,3508,Cliente_003508,Rio de Janeiro,Brazil,Recurrente,77,78,Rio de Janeiro Churrascaria Diner,Brazilian,Rio de Janeiro,Brazil,Alto,3.6,1,"It was fine, some items were cold."
8716,24080,20260829,2026-08-29,29,Saturday,1,35,8,August,3,2026,2026-08,4396,4397,Cliente_004397,Delhi,India,Recurrente,79,80,Chennai Spice Corner,Indian,Chennai,India,Alto,1.8,0,
8717,24090,20260828,2026-08-28,28,Friday,0,35,8,August,3,2026,2026-08,1097,1098,Cliente_001098,Sao Paulo,Brazil,VIP,89,90,Sao Paulo Bazaar Diner,Middle Eastern,Sao Paulo,Brazil,Bajo,2.6,0,
8718,24093,20260828,2026-08-28,28,Friday,0,35,8,August,3,2026,2026-08,5647,5648,Cliente_005648,Tokyo,Japan,VIP,92,93,Tokyo Cerrado Place,Brazilian,Tokyo,Japan,Bajo,2.4,1,Order arrived late and cold.
8719,24095,20260518,2026-05-18,18,Monday,0,21,5,May,2,2026,2026-05,5580,5581,Cliente_005581,Tokyo,Japan,VIP,94,95,Tokyo Namaste Cafe,Indian,Tokyo,Japan,Medio,2.6,1,"It was fine, some items were cold."
8720,24096,20260731,2026-07-31,31,Friday,0,31,7,July,3,2026,2026-07,1029,1030,Cliente_001030,Bangalore,India,VIP,95,96,Bangalore Acropolis Kitchen,Greek,Bangalore,India,Alto,3.7,0,
8721,24097,20250624,2025-06-24,24,Tuesday,0,26,6,June,2,2025,2025-06,2295,2296,Cliente_002296,Tokyo,Japan,VIP,96,97,Tokyo Azteca Table,Mexican,Tokyo,Japan,Medio,3.0,0,
8722,24104,20250910,2025-09-10,10,Wednesday,0,37,9,September,3,2025,2025-09,2096,2097,Cliente_002097,Chicago,United States,VIP,103,104,Yokohama Olive Corner,Mediterranean,Yokohama,Japan,Medio,1.8,1,Delivery was very delayed.
8723,24107,20250403,2025-04-03,3,Thursday,0,14,4,April,2,2025,2025-04,3792,3793,Cliente_003793,Delhi,India,VIP,106,107,Delhi Bamboo Bowl Cafe,Vietnamese,Delhi,India,Medio,3.0,1,Decent but could be better.
8724,24110,20250115,2025-01-15,15,Wednesday,0,3,1,January,1,2025,2025-01,1817,1818,Cliente_001818,Tokyo,Japan,Recurrente,109,110,Tokyo Bombay Kitchen & Bar,Indian,Tokyo,Japan,Medio,4.0,0,
8725,24111,20241109,2024-11-09,9,Saturday,1,45,11,November,4,2024,2024-11,1763,1764,Cliente_001764,London,United Kingdom,VIP,110,111,London Delphi Grill,Greek,London,United Kingdom,Medio,3.5,0,
8726,24112,20260417,2026-04-17,17,Friday,0,16,4,April,2,2026,2026-04,2612,2613,Cliente_002613,Hyderabad,India,Recurrente,111,112,Hyderabad Fiesta Garden,Mexican,Hyderabad,India,Bajo,2.9,0,
8727,24114,20260825,2026-08-25,25,Tuesday,0,35,8,August,3,2026,2026-08,1390,1391,Cliente_001391,Tokyo,Japan,VIP,113,114,Bangalore Smokehouse Diner,American,Bangalore,India,Bajo,4.5,0,
8728,24119,20260119,2026-01-19,19,Monday,0,4,1,January,1,2026,2026-01,5261,5262,Cliente_005262,Chennai,India,VIP,118,119,Chennai Blue Wave Cafe,Mediterranean,Chennai,India,Bajo,2.2,0,
8729,24122,20241121,2024-11-21,21,Thursday,0,47,11,November,4,2024,2024-11,2599,2600,Cliente_002600,Bangalore,India,VIP,121,122,Tokyo Lotus Leaf Kitchen & Bar,Vietnamese,Tokyo,Japan,Medio,3.5,1,"It was fine, some items were cold."
8730,24123,20251124,2025-11-24,24,Monday,0,48,11,November,4,2025,2025-11,578,579,Cliente_000579,Delhi,India,Recurrente,122,123,Delhi Samba Grill,Brazilian,Delhi,India,Bajo,2.5,1,"It was fine, some items were cold."
8731,24125,20260823,2026-08-23,23,Sunday,1,35,8,August,3,2026,2026-08,880,881,Cliente_000881,Bangalore,India,VIP,124,125,Bangalore Masala Bistro,Indian,Bangalore,India,Medio,2.5,0,
8732,24128,20240928,2024-09-28,28,Saturday,1,39,9,September,3,2024,2024-09,1093,1094,Cliente_001094,Houston,United States,Recurrente,127,128,Houston Seoul Corner,Korean,Houston,United States,Medio,2.0,1,Delivery was very delayed.
8733,24130,20260109,2026-01-09,9,Friday,0,2,1,January,1,2026,2026-01,407,408,Cliente_000408,Rio de Janeiro,Brazil,EnRiesgo,129,130,New York Chateau House,French,New York,United States,Medio,4.7,1,"Loved it, definitely recommend."
8734,24131,20260826,2026-08-26,26,Wednesday,0,35,8,August,3,2026,2026-08,689,690,Cliente_000690,Delhi,India,Recurrente,130,131,Delhi Koi Cafe,Japanese,Delhi,India,Alto,4.8,0,
8735,24133,20250315,2025-03-15,15,Saturday,1,11,3,March,1,2025,2025-03,4256,4257,Cliente_004257,Miami,United States,Recurrente,132,133,Miami Nonna Table,Italian,Miami,United States,Medio,2.6,0,
8736,24134,20251225,2025-12-25,25,Thursday,0,52,12,December,4,2025,2025-12,10,11,Cliente_000011,Mumbai,India,VIP,133,134,Mumbai Cedar Kitchen & Bar,Mediterranean,Mumbai,India,Alto,5.0,0,
8737,24135,20260709,2026-07-09,9,Thursday,0,28,7,July,3,2026,2026-07,5221,5222,Cliente_005222,Hyderabad,India,VIP,134,135,Hyderabad Casbah Grill,Middle Eastern,Hyderabad,India,Medio,2.8,0,
8738,24141,20250422,2025-04-22,22,Tuesday,0,17,4,April,2,2025,2025-04,4580,4581,Cliente_004581,Leeds,United Kingdom,VIP,140,141,Leeds Meze Place,Greek,Leeds,United Kingdom,Medio,3.8,1,"Average experience, nothing special."
8739,24142,20260304,2026-03-04,4,Wednesday,0,10,3,March,1,2026,2026-03,3643,3644,Cliente_003644,Hyderabad,India,Recurrente,141,142,Hyderabad Chile House,Mexican,Hyderabad,India,Bajo,4.0,0,
8740,24145,20260508,2026-05-08,8,Friday,0,19,5,May,2,2026,2026-05,3675,3676,Cliente_003676,Nagoya,Japan,VIP,144,145,Osaka Rive Gauche Table,French,Osaka,Japan,Medio,3.5,1,"Average experience, nothing special."
8741,24146,20260426,2026-04-26,26,Sunday,1,18,4,April,2,2026,2026-04,4799,4800,Cliente_004800,Sao Paulo,Brazil,VIP,145,146,Sao Paulo Bamboo Kitchen & Bar,Japanese,Sao Paulo,Brazil,Alto,3.4,1,"Average experience, nothing special."
8742,24147,20260108,2026-01-08,8,Thursday,0,2,1,January,1,2026,2026-01,336,337,Cliente_000337,Sao Paulo,Brazil,VIP,146,147,New York Basil Grill,Thai,New York,United States,Alto,3.6,1,"Average experience, nothing special."
8743,24149,20260625,2026-06-25,25,Thursday,0,26,6,June,2,2026,2026-06,2509,2510,Cliente_002510,Brasilia,Brazil,VIP,148,149,Brasilia Terra Bistro,Mediterranean,Brasilia,Brazil,Alto,3.4,0,
8744,24151,20250709,2025-07-09,9,Wednesday,0,28,7,July,3,2025,2025-07,3459,3460,Cliente_003460,Mumbai,India,VIP,150,151,Mumbai Silk Road Eatery,Chinese,Mumbai,India,Medio,3.5,0,
8745,24153,20241211,2024-12-11,11,Wednesday,0,50,12,December,4,2024,2024-12,4696,4697,Cliente_004697,Delhi,India,VIP,152,153,Chennai Tropicana Place,Brazilian,Chennai,India,Bajo,2.3,0,
8746,24155,20260610,2026-06-10,10,Wednesday,0,24,6,June,2,2026,2026-06,2700,2701,Cliente_002701,Mumbai,India,VIP,154,155,London Tandoor Cafe,Indian,London,United Kingdom,Alto,3.4,0,
8747,24156,20250710,2025-07-10,10,Thursday,0,28,7,July,3,2025,2025-07,5527,5528,Cliente_005528,Sao Paulo,Brazil,VIP,155,156,Sao Paulo Aegean Blue Kitchen,Greek,Sao Paulo,Brazil,Bajo,3.8,1,"It was fine, some items were cold."
8748,24158,20260815,2026-08-15,15,Saturday,1,33,8,August,3,2026,2026-08,1071,1072,Cliente_001072,New York,United States,VIP,157,158,New York Dosan Kitchen & Bar,Korean,New York,United States,Alto,3.9,1,"Average experience, nothing special."
8749,24159,20240905,2024-09-05,5,Thursday,0,36,9,September,3,2024,2024-09,250,251,Cliente_000251,Hyderabad,India,VIP,158,159,Hyderabad Classic Grill,American,Hyderabad,India,Alto,2.9,0,
8750,24160,20260723,2026-07-23,23,Thursday,0,30,7,July,3,2026,2026-07,1264,1265,Cliente_001265,Bangalore,India,VIP,159,160,Bangalore Bistro Garden,French,Bangalore,India,Alto,4.2,0,
8751,24163,20250722,2025-07-22,22,Tuesday,0,30,7,July,3,2025,2025-07,893,894,Cliente_000894,Houston,United States,VIP,162,163,Houston Bella Eatery,Italian,Houston,United States,Alto,3.0,1,Decent but could be better.
8752,24165,20260320,2026-03-20,20,Friday,0,12,3,March,1,2026,2026-03,5948,5949,Cliente_005949,Rio de Janeiro,Brazil,Recurrente,164,165,Rio de Janeiro Aleppo Place,Middle Eastern,Rio de Janeiro,Brazil,Medio,4.2,0,
8753,24167,20260224,2026-02-24,24,Tuesday,0,9,2,February,1,2026,2026-02,5334,5335,Cliente_005335,Chennai,India,VIP,166,167,Chennai Lantern Cafe,Vietnamese,Chennai,India,Medio,3.8,0,
8754,24169,20250612,2025-06-12,12,Thursday,0,24,6,June,2,2025,2025-06,3957,3958,Cliente_003958,Bangalore,India,Recurrente,168,169,Bangalore Tapas Table,Spanish,Bangalore,India,Alto,4.1,1,"Great food, fast delivery, will order again."
8755,24171,20251224,2025-12-24,24,Wednesday,0,52,12,December,4,2025,2025-12,5108,5109,Cliente_005109,Rio de Janeiro,Brazil,Recurrente,170,171,Rio de Janeiro Athena Grill,Greek,Rio de Janeiro,Brazil,Alto,3.7,0,
8756,24174,20250316,2025-03-16,16,Sunday,1,12,3,March,1,2025,2025-03,1153,1154,Cliente_001154,Rio de Janeiro,Brazil,Recurrente,173,174,New York Backyard Diner,American,New York,United States,Alto,2.2,0,
8757,24175,20260608,2026-06-08,8,Monday,0,24,6,June,2,2026,2026-06,841,842,Cliente_000842,New York,United States,Recurrente,174,175,Birmingham Amelie Eatery,French,Birmingham,United Kingdom,Alto,4.4,1,"Really enjoyed this, everything arrived hot."
8758,24178,20260209,2026-02-09,9,Monday,0,7,2,February,1,2026,2026-02,3260,3261,Cliente_003261,Tokyo,Japan,VIP,177,178,Tokyo Piazza House,Italian,Tokyo,Japan,Bajo,5.0,1,Excellent service and tasty food.
8759,24179,20251208,2025-12-08,8,Monday,0,50,12,December,4,2025,2025-12,5455,5456,Cliente_005456,Fortaleza,Brazil,VIP,178,179,Fortaleza Sunset Cafe,Mediterranean,Fortaleza,Brazil,Bajo,2.7,1,"Food was okay, delivery took a while."
8760,24183,20260311,2026-03-11,11,Wednesday,0,11,3,March,1,2026,2026-03,621,622,Cliente_000622,Tokyo,Japan,VIP,182,183,Fortaleza Verde Grill,Brazilian,Fortaleza,Brazil,Alto,3.1,0,
8761,24187,20260601,2026-06-01,1,Monday,0,23,6,June,2,2026,2026-06,3109,3110,Cliente_003110,Sao Paulo,Brazil,Recurrente,186,187,Sao Paulo Sol Eatery,Mexican,Sao Paulo,Brazil,Medio,5.0,0,
8762,24188,20241221,2024-12-21,21,Saturday,1,51,12,December,4,2024,2024-12,547,548,Cliente_000548,Sao Paulo,Brazil,VIP,187,188,Sao Paulo Bibim Corner,Korean,Sao Paulo,Brazil,Medio,2.4,1,Order arrived late and cold.
8763,24191,20260722,2026-07-22,22,Wednesday,0,30,7,July,3,2026,2026-07,3781,3782,Cliente_003782,Salvador,Brazil,VIP,190,191,Salvador Wasabi Cafe,Japanese,Salvador,Brazil,Medio,5.0,0,
8764,24196,20260812,2026-08-12,12,Wednesday,0,33,8,August,3,2026,2026-08,3610,3611,Cliente_003611,Rio de Janeiro,Brazil,Recurrente,195,196,Rio de Janeiro Bamboo Garden Garden,Chinese,Rio de Janeiro,Brazil,Medio,1.9,1,Delivery was very delayed.
8765,24203,20251029,2025-10-29,29,Wednesday,0,44,10,October,4,2025,2025-10,5277,5278,Cliente_005278,Bangalore,India,Recurrente,202,203,Sao Paulo Gangnam Cafe,Korean,Sao Paulo,Brazil,Bajo,3.7,0,
8766,24205,20260828,2026-08-28,28,Friday,0,35,8,August,3,2026,2026-08,3802,3803,Cliente_003803,London,United Kingdom,VIP,204,205,Rio de Janeiro Cheri Table,French,Rio de Janeiro,Brazil,Alto,2.4,1,Order arrived late and cold.
8767,24209,20241128,2024-11-28,28,Thursday,0,48,11,November,4,2024,2024-11,5929,5930,Cliente_005930,Mumbai,India,VIP,208,209,Mumbai Aegean Bistro,Mediterranean,Mumbai,India,Medio,4.5,1,Consistently good quality.
8768,24210,20260814,2026-08-14,14,Friday,0,33,8,August,3,2026,2026-08,1168,1169,Cliente_001169,Brasilia,Brazil,VIP,209,210,Brasilia Bazaar Diner,Middle Eastern,Brasilia,Brazil,Medio,3.3,1,Decent but could be better.
8769,24218,20260501,2026-05-01,1,Friday,0,18,5,May,2,2026,2026-05,4185,4186,Cliente_004186,New York,United States,VIP,217,218,New York Hanok Kitchen & Bar,Korean,New York,United States,Bajo,3.0,0,
8770,24219,20260618,2026-06-18,18,Thursday,0,25,6,June,2,2026,2026-06,3413,3414,Cliente_003414,New York,United States,Recurrente,218,219,New York Diner Grill,American,New York,United States,Alto,5.0,1,Consistently good quality.
8771,24220,20260621,2026-06-21,21,Sunday,1,26,6,June,2,2026,2026-06,2031,2032,Cliente_002032,Chicago,United States,Recurrente,219,220,Chicago Provence Garden,French,Chicago,United States,Alto,4.2,0,
8772,24224,20260305,2026-03-05,5,Thursday,0,10,3,March,1,2026,2026-03,912,913,Cliente_000913,Bangalore,India,VIP,223,224,Bangalore Olive Corner,Mediterranean,Bangalore,India,Alto,2.9,1,"It was fine, some items were cold."
8773,24226,20260726,2026-07-26,26,Sunday,1,31,7,July,3,2026,2026-07,316,317,Cliente_000317,Fortaleza,Brazil,Recurrente,225,226,Sao Paulo Jade House,Chinese,Sao Paulo,Brazil,Alto,4.0,0,
8774,24228,20251203,2025-12-03,3,Wednesday,0,49,12,December,4,2025,2025-12,3181,3182,Cliente_003182,Delhi,India,Recurrente,227,228,Delhi Ipanema Kitchen,Brazilian,Delhi,India,Alto,2.9,1,"It was fine, some items were cold."
8775,24229,20241222,2024-12-22,22,Sunday,1,52,12,December,4,2024,2024-12,900,901,Cliente_000901,Tokyo,Japan,VIP,228,229,Rio de Janeiro Costa Table,Spanish,Rio de Janeiro,Brazil,Bajo,3.9,1,"Average experience, nothing special."
8776,24231,20240908,2024-09-08,8,Sunday,1,37,9,September,3,2024,2024-09,3802,3803,Cliente_003803,London,United Kingdom,VIP,230,231,Sao Paulo Delphi Grill,Greek,Sao Paulo,Brazil,Medio,4.6,1,Excellent service and tasty food.
8777,24236,20251025,2025-10-25,25,Saturday,1,43,10,October,4,2025,2025-10,1281,1282,Cliente_001282,Osaka,Japan,VIP,235,236,Osaka Umami Corner,Japanese,Osaka,Japan,Alto,3.3,0,
8778,24238,20260326,2026-03-26,26,Thursday,0,13,3,March,1,2026,2026-03,4795,4796,Cliente_004796,Rio de Janeiro,Brazil,VIP,237,238,Chennai Basilico House,Italian,Chennai,India,Medio,3.3,1,"It was fine, some items were cold."
8779,24242,20260301,2026-03-01,1,Sunday,1,10,3,March,1,2026,2026-03,1463,1464,Cliente_001464,Tokyo,Japan,Recurrente,241,242,Tokyo Lotus Leaf Kitchen & Bar,Vietnamese,Tokyo,Japan,Medio,2.8,1,"It was fine, some items were cold."
8780,24245,20260617,2026-06-17,17,Wednesday,0,25,6,June,2,2026,2026-06,307,308,Cliente_000308,Sao Paulo,Brazil,VIP,244,245,New York Masala Bistro,Indian,New York,United States,Alto,2.6,0,
8781,24247,20251101,2025-11-01,1,Saturday,1,44,11,November,4,2025,2025-11,5068,5069,Cliente_005069,Sao Paulo,Brazil,VIP,246,247,Sao Paulo Salsa Eatery,Mexican,Sao Paulo,Brazil,Medio,3.4,0,
8782,24248,20260806,2026-08-06,6,Thursday,0,32,8,August,3,2026,2026-08,5395,5396,Cliente_005396,New York,United States,VIP,247,248,New York Seoul Corner,Korean,New York,United States,Alto,4.8,1,Consistently good quality.
8783,24249,20260823,2026-08-23,23,Sunday,1,35,8,August,3,2026,2026-08,4404,4405,Cliente_004405,Tokyo,Japan,Recurrente,248,249,Tokyo Route 66 Place,American,Tokyo,Japan,Medio,3.8,1,"Food was okay, delivery took a while."
8784,24250,20250424,2025-04-24,24,Thursday,0,17,4,April,2,2025,2025-04,4122,4123,Cliente_004123,New York,United States,EnRiesgo,249,250,New York Chateau House,French,New York,United States,Alto,2.1,1,Order arrived late and cold.
8785,24251,20251224,2025-12-24,24,Wednesday,0,52,12,December,4,2025,2025-12,4172,4173,Cliente_004173,London,United Kingdom,Recurrente,250,251,London Koi Cafe,Japanese,London,United Kingdom,Alto,5.0,0,
8786,24252,20250416,2025-04-16,16,Wednesday,0,16,4,April,2,2025,2025-04,5407,5408,Cliente_005408,Hyderabad,India,VIP,251,252,Hyderabad Siam Kitchen,Thai,Hyderabad,India,Medio,3.5,1,"It was fine, some items were cold."
8787,24253,20260819,2026-08-19,19,Wednesday,0,34,8,August,3,2026,2026-08,5119,5120,Cliente_005120,London,United Kingdom,VIP,252,253,London Nonna Table,Italian,London,United Kingdom,Bajo,2.6,1,Decent but could be better.
8788,24265,20260418,2026-04-18,18,Saturday,1,16,4,April,2,2026,2026-04,2154,2155,Cliente_002155,Leeds,United Kingdom,VIP,264,265,Leeds Rive Gauche Table,French,Leeds,United Kingdom,Alto,4.4,0,
8789,24268,20250314,2025-03-14,14,Friday,0,11,3,March,1,2025,2025-03,4061,4062,Cliente_004062,Tokyo,Japan,VIP,267,268,Tokyo Roma Garden,Italian,Tokyo,Japan,Alto,3.5,0,
8790,24270,20241125,2024-11-25,25,Monday,0,48,11,November,4,2024,2024-11,2504,2505,Cliente_002505,Mumbai,India,Recurrente,269,270,Mumbai Spice Route Diner,Middle Eastern,Mumbai,India,Medio,4.8,0,
8791,24277,20251210,2025-12-10,10,Wednesday,0,50,12,December,4,2025,2025-12,1938,1939,Cliente_001939,Delhi,India,VIP,276,277,Delhi Frontera Table,Mexican,Delhi,India,Bajo,3.4,0,
8792,24282,20260806,2026-08-06,6,Thursday,0,32,8,August,3,2026,2026-08,2662,2663,Cliente_002663,Sao Paulo,Brazil,VIP,281,282,Chennai Bangkok Diner,Thai,Chennai,India,Bajo,4.5,1,Consistently good quality.
8793,24283,20241029,2024-10-29,29,Tuesday,0,44,10,October,4,2024,2024-10,5185,5186,Cliente_005186,Salvador,Brazil,Recurrente,282,283,Sao Paulo Bella Eatery,Italian,Sao Paulo,Brazil,Medio,2.7,0,
8794,24284,20260217,2026-02-17,17,Tuesday,0,8,2,February,1,2026,2026-02,2063,2064,Cliente_002064,Sao Paulo,Brazil,Recurrente,283,284,Sao Paulo Coastal Corner,Mediterranean,Sao Paulo,Brazil,Medio,4.1,0,
8795,24286,20250614,2025-06-14,14,Saturday,1,24,6,June,2,2025,2025-06,1352,1353,Cliente_001353,Salvador,Brazil,VIP,285,286,Salvador Dynasty House,Chinese,Salvador,Brazil,Medio,4.8,0,
8796,24290,20250916,2025-09-16,16,Tuesday,0,38,9,September,3,2025,2025-09,1617,1618,Cliente_001618,Hyderabad,India,VIP,289,290,Nagoya Saffron Kitchen & Bar,Indian,Nagoya,Japan,Alto,3.1,0,
8797,24292,20250501,2025-05-01,1,Thursday,0,18,5,May,2,2025,2025-05,2488,2489,Cliente_002489,Chicago,United States,VIP,291,292,Chicago Agave Garden,Mexican,Chicago,United States,Medio,3.8,0,
8798,24297,20260823,2026-08-23,23,Sunday,1,35,8,August,3,2026,2026-08,3613,3614,Cliente_003614,Mumbai,India,Recurrente,296,297,Mumbai Orchid Place,Thai,Mumbai,India,Alto,4.8,0,
8799,24300,20250413,2025-04-13,13,Sunday,1,16,4,April,2,2025,2025-04,1928,1929,Cliente_001929,Hyderabad,India,VIP,299,300,Hyderabad Damascus Kitchen,Middle Eastern,Hyderabad,India,Bajo,2.6,0,
8800,24302,20251121,2025-11-21,21,Friday,0,47,11,November,4,2025,2025-11,2451,2452,Cliente_002452,Tokyo,Japan,Recurrente,301,302,Tokyo Perfume River Kitchen & Bar,Vietnamese,Tokyo,Japan,Alto,3.2,0,
8801,24304,20260823,2026-08-23,23,Sunday,1,35,8,August,3,2026,2026-08,4611,4612,Cliente_004612,Delhi,India,VIP,303,304,Delhi Sevilla Garden,Spanish,Delhi,India,Medio,2.3,1,"Not satisfied, wrong items delivered."
8802,24309,20250411,2025-04-11,11,Friday,0,15,4,April,2,2025,2025-04,414,415,Cliente_000415,Osaka,Japan,Recurrente,308,309,Osaka Roadside Place,American,Osaka,Japan,Bajo,4.4,0,
8803,24312,20260826,2026-08-26,26,Wednesday,0,35,8,August,3,2026,2026-08,5250,5251,Cliente_005251,Hyderabad,India,VIP,311,312,Hyderabad Lemongrass Kitchen,Thai,Hyderabad,India,Bajo,4.9,0,
8804,24314,20260811,2026-08-11,11,Tuesday,0,33,8,August,3,2026,2026-08,2069,2070,Cliente_002070,Kyoto,Japan,VIP,313,314,Kyoto Levant Kitchen & Bar,Mediterranean,Kyoto,Japan,Bajo,1.6,0,
8805,24315,20260720,2026-07-20,20,Monday,0,30,7,July,3,2026,2026-07,5154,5155,Cliente_005155,Mumbai,India,Recurrente,314,315,Mumbai Sahara Grill,Middle Eastern,Mumbai,India,Alto,2.4,0,
